Size List Tree Map List:Tree List:Map Tree:Map
16 0.05 0.06 0.05 0.8333333333333334 1.0 1.2
32 0.09 0.06 0.07 1.5 1.2857142857142856 0.857142857142857
64 0.13 0.09 0.07 1.4444444444444446 1.857142857142857 1.2857142857142856
128 0.22 0.08 0.06 2.75 3.666666666666667 1.3333333333333335
256 0.42 0.14 0.07 2.9999999999999996 5.999999999999999 2.0
512 0.85 0.11 0.08 7.727272727272727 10.625 1.375
1024 1.75 0.12 0.07 14.583333333333334 24.999999999999996 1.714285714285714
2048 3.36 0.14 0.06 23.999999999999996 56.0 2.3333333333333335
4096 6.59 0.19 0.09 34.68421052631579 73.22222222222223 2.111111111111111
8192 12.46 0.19 0.09 65.57894736842105 138.44444444444446 2.111111111111111
16384 26.65 0.25 0.09 106.6 296.1111111111111 2.7777777777777777
32768 54.53 0.25 0.12 218.12 454.4166666666667 2.0833333333333335
