Size List Tree Map List:Tree List:Map Tree:Map
16 0.03 0.03 0.02 1.0 1.5 1.5
32 0.05 0.04 0.03 1.25 1.6666666666666667 1.3333333333333335
64 0.07 0.05 0.03 1.4000000000000001 2.3333333333333335 1.6666666666666667
128 0.11 0.05 0.03 2.1999999999999997 3.666666666666667 1.6666666666666667
256 0.18 0.07 0.03 2.571428571428571 6.0 2.3333333333333335
512 0.33 0.07 0.03 4.714285714285714 11.000000000000002 2.3333333333333335
1024 0.66 0.08 0.04 8.25 16.5 2.0
2048 1.28 0.09 0.03 14.222222222222223 42.66666666666667 3.0
4096 2.65 0.11 0.04 24.09090909090909 66.25 2.75
8192 5.1 0.12 0.04 42.5 127.49999999999999 3.0
16384 11.09 0.13 0.04 85.3076923076923 277.25 3.25
32768 22.99 0.16 0.04 143.6875 574.75 4.0
