Size List Tree Map List:Tree List:Map Tree:Map
16 0.05 0.05 0.03 1.0 1.6666666666666667 1.6666666666666667
32 0.08 0.07 0.04 1.1428571428571428 2.0 1.7500000000000002
64 0.14 0.08 0.06 1.7500000000000002 2.3333333333333335 1.3333333333333335
128 0.27 0.1 0.06 2.7 4.500000000000001 1.6666666666666667
256 0.46 0.14 0.07 3.2857142857142856 6.571428571428571 2.0
512 0.92 0.14 0.07 6.571428571428571 13.142857142857142 2.0
1024 1.85 0.14 0.08 13.214285714285714 23.125 1.7500000000000002
2048 3.71 0.18 0.07 20.61111111111111 52.99999999999999 2.571428571428571
4096 6.75 0.22 0.08 30.681818181818183 84.375 2.75
8192 13.17 0.23 0.09 57.26086956521739 146.33333333333334 2.555555555555556
16384 27.72 0.27 0.1 102.66666666666666 277.2 2.7
32768 57.49 0.29 0.11 198.24137931034485 522.6363636363636 2.6363636363636362
